ranks	threads	wall_total_s	wall_per_step_s	steps_logged
1	96	43.054	1.3948	30
2	48	36.538	1.1398	30
4	24	31.729	1.0182	30
6	16	30.438	0.9754	30
8	12	29.219	0.9340	30
12	8	30.215	0.9611	30
16	6	29.967	0.9487	30
24	4	30.649	0.9681	30
48	2	31.970	0.9920	30
96	1	35.151	1.0702	30
