ranks	threads	wall_total_s	wall_per_step_s	steps_logged
1	192	41.487	1.3421	30
2	96	31.686	0.9766	30
4	48	24.908	0.7897	30
6	32	24.286	0.7652	30
8	24	22.733	0.7166	30
12	16	23.315	0.7281	30
16	12	23.581	0.7315	30
24	8	23.767	0.7372	30
48	4	25.030	0.7649	30
96	2	28.071	0.8348	30
192	1	35.194	1.0109	30
