ranks,threads,wall_total_s,wall_per_step_s,speedup,norm_best
1,96,43.054,1.3948,1.0,0.6696300544880986
2,48,36.538,1.1398,1.2237234602561855,0.8194420073697141
4,24,31.729,1.0182,1.3698683952072286,0.9173050481241407
6,16,30.438,0.9754,1.4299774451507075,0.9575558745130203
8,12,29.219,0.934,1.4933618843683083,1.0
12,8,30.215,0.9611,1.4512537717199043,0.9718031422328582
16,6,29.967,0.9487,1.4702224096131549,0.9845051122588806
24,4,30.649,0.9681,1.4407602520400786,0.9647763660778846
48,2,31.97,0.992,1.4060483870967742,0.9415322580645162
96,1,35.151,1.0702,1.3033077929358998,0.8727340683984303
